ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-D941A6A7418,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Mikal Bridges: 10+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-CFD3CA5A63B,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-CE247AF3A72,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 20+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-BD045D16D33,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Mikal Bridges: 15+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-ADD38056509,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-A3483592377,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-A0D6BBCD23C,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Alperen Sengun: 15+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-89166B009BA,"yes Cooper Flagg: 15+,yes Jalen Brunson: 30+,yes Mikal Bridges: 15+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-85875B89591,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Karl-Anthony Towns: 15+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-8359AF6EB18,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Mikal Bridges: 10+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
