sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Sports > Basketball > NBA,KXWNBAGAME,12-24h,90-92¢,5,5,0,100.0,9.4,47.0,yes,KXWNBAGAME-25SEP10ATLCONN-ATL|KXWNBAGAME-25SEP09WSHNY-NY|KXWNBAGAME-25SEP08CONNATL-ATL|KXWNBAGAME-25SEP05CHIIND-IND|KXWNBAGAME-25AUG30MINCONN-MIN
Sports > Football > NCAA Football,KXNCAAFSPREAD,1-3h,90-92¢,48,44,4,91.7,0.98,47.0,yes,KXNCAAFSPREAD-26JAN19MIAIND-IND2|KXNCAAFSPREAD-26JAN08MIAMISS-MIA3|KXNCAAFSPREAD-26JAN09OREIND-IND9|KXNCAAFSPREAD-26JAN09OREIND-IND7|KXNCAAFSPREAD-26JAN09OREIND-IND6
Climate and Weather > Temperature,KXLOWTAUS,0-1h,90-92¢,5,5,0,100.0,9.2,46.0,yes,KXLOWTAUS-26FEB03-B50.5|KXLOWTAUS-26JAN30-B30.5|KXLOWTAUS-26JAN24-B25.5|KXLOWTAUS-26JAN23-B45.5|KXLOWTAUS-26JAN17-T32
Health > COVID-19,KXCASED,12-24h,93-95¢,8,8,0,100.0,5.75,46.0,yes,"CASED-22JUL05-T100|CASED-22MAY11-T90,000|CASED-22APR27-T65,000|CASED-22APR26-T60,000|CASED-22MAR17-T25"
Sports > Esports > FIFA,KXFIFAGAME,1-3h,93-95¢,7,7,0,100.0,6.57,46.0,yes,KXFIFAGAME-25NOV15COLNZL-COL|KXFIFAGAME-25NOV15USAPAR-USA|KXFIFAGAME-25NOV14ANGARG-ARG|KXFIFAGAME-25NOV18KNABLZ-BLZ|KXFIFAGAME-25NOV18KSADZA-DZA
Sports > Tennis > ATP Italian Open,KXATPIT,1-3h,90-92¢,5,5,0,100.0,9.0,45.0,yes,KXATPIT-25ALCMUS-ALC|KXATPIT-25SINRUU-SIN|KXATPIT-25MUSZVE-MUS|KXATPIT-25MUNKOR-MUN|KXATPIT-25PAUBAU-PAU
Financials > Stock Indices,KXNASDAQ100Z,6-12h,90-92¢,5,5,0,100.0,8.8,44.0,yes,NASDAQ100Z-24MAR21-T18240.11|NASDAQ100Z-24MAR07-T18017.57|NASDAQ100Z-24JAN24-T17404.20|NASDAQ100Z-24JAN18-T16736.28|NASDAQ100Z-23DEC21-T16554.16
Sports > Tennis > French Open Women's Singles,KXFOWOMEN,12-24h,90-92¢,5,5,0,100.0,8.8,44.0,yes,KXFOWOMEN-25ANDPUT-AND|KXFOWOMEN-25PAOSTA-PAO|KXFOWOMEN-25SABDAN-SAB|KXFOWOMEN-25MBOZHE-ZHE|KXFOWOMEN-25ANDKRU-AND
Financials > Forex,KXGBP,1-3h,93-95¢,7,7,0,100.0,6.0,42.0,yes,GBP-22AUG04-T1.215|GBP-22JUL21-T1.190|GBP-22JUL20-T1.195|GBP-22JUL19-T1.200|GBP-22JUL15-T1.180
Sports > Football > NCAA Football,KXNCAAFGAME,1-3h,93-95¢,8,8,0,100.0,5.25,42.0,yes,KXNCAAFGAME-26JAN02RICETXST-TXST|KXNCAAFGAME-26JAN02NAVYCIN-NAVY|KXNCAAFGAME-25DEC29GASOAPP-GASO|KXNCAAFGAME-25DEC27UNTSDSU-UNT|KXNCAAFGAME-25DEC27CONNARMY-ARMY
Economics > Energy Prices,KXAAAGASM,24h+,96-98¢,14,14,0,100.0,3.0,42.0,yes,KXAAAGASM-25SEP30-3.00|KXAAAGASM-25SEP30-2.95|KXAAAGASM-25SEP30-2.90|KXAAAGASM-25SEP30-2.85|KXAAAGASM-25SEP30-2.80
Sports > Baseball > MLB,KXMLBTOTAL,3-6h,93-95¢,7,7,0,100.0,6.0,42.0,yes,KXMLBTOTAL-25OCT29TORLAD-4|KXMLBTOTAL-25OCT27TORLAD-9|KXMLBTOTAL-25OCT27TORLAD-8|KXMLBTOTAL-25OCT27TORLAD-6|KXMLBTOTAL-25OCT17MILLAD-3
Climate and Weather > Temperature,KXHIGHTLV,6-12h,90-92¢,16,15,1,93.8,2.56,41.0,yes,KXHIGHTLV-26FEB10-T68|KXHIGHTLV-26FEB07-B73.5|KXHIGHTLV-26FEB06-B73.5|KXHIGHTLV-26FEB05-B73.5|KXHIGHTLV-26FEB04-B73.5
Sports > Tennis > ATP,KXATPMATCH,1-3h,90-92¢,15,14,1,93.3,2.73,41.0,yes,KXATPMATCH-26FEB10CERDEL-CER|KXATPMATCH-26FEB09PELETC-ETC|KXATPMATCH-26FEB09DIASHE-SHE|KXATPMATCH-26FEB09DUCSPI-SPI|KXATPMATCH-26FEB09PAVVAN-VAN
Sports > Soccer > Scottish Premiership,KXSCOTTISHPREMGAME,0-1h,93-95¢,6,6,0,100.0,6.83,41.0,yes,KXSCOTTISHPREMGAME-26FEB11MOTRFC-TIE|KXSCOTTISHPREMGAME-26JAN14FALCEL-CEL|KXSCOTTISHPREMGAME-26JAN03FALABE-FAL|KXSCOTTISHPREMGAME-26JAN03DUUDUN-DUN|KXSCOTTISHPREMGAME-25DEC30MOTCEL-MOT
